车辆类型,排放类型,speed_kmh,acceleration_m/s2,排放因子_g/s
小轿车,NOx,111,-1.8,2.46343888888889e-05
小轿车,NOx,112,-1.8,2.46343888888889e-05
小轿车,NOx,113,-1.8,2.46343888888889e-05
小轿车,NOx,114,-1.8,2.46343888888889e-05
小轿车,NOx,115,-1.8,2.46343888888889e-05
小轿车,NOx,116,-1.8,2.46343888888889e-05
小轿车,NOx,117,-1.8,2.46343888888889e-05
小轿车,NOx,118,-1.8,2.46343888888889e-05
小轿车,NOx,119,-1.8,2.46343888888889e-05
小轿车,NOx,120,-1.8,2.46343888888889e-05
小轿车,NOx,121,-1.8,2.46343888888889e-05
小轿车,NOx,122,-1.8,2.46343888888889e-05
小轿车,NOx,123,-1.8,2.46343888888889e-05
小轿车,NOx,124,-1.8,2.46343888888889e-05
小轿车,NOx,125,-1.8,2.46343888888889e-05
小轿车,NOx,126,-1.8,2.46343888888889e-05
小轿车,NOx,127,-1.8,2.46343888888889e-05
小轿车,NOx,128,-1.8,2.46343888888889e-05
小轿车,NOx,129,-1.8,2.46343888888889e-05
小轿车,NOx,130,-1.8,2.46343888888889e-05
小轿车,NOx,131,-1.8,2.46343888888889e-05
小轿车,NOx,132,-1.8,2.46343888888889e-05
小轿车,NOx,133,-1.8,2.46343888888889e-05
小轿车,NOx,134,-1.8,2.46343888888889e-05
小轿车,NOx,135,-1.8,2.46343888888889e-05
小轿车,NOx,136,-1.8,2.46343888888889e-05
小轿车,NOx,137,-1.8,2.46343888888889e-05
小轿车,NOx,138,-1.8,2.46343888888889e-05
小轿车,NOx,139,-1.8,2.46343888888889e-05
小轿车,NOx,140,-1.8,2.46343888888889e-05
小轿车,NOx,0,-1.7,2.46343888888889e-05
小轿车,NOx,1,-1.7,2.46343888888889e-05
小轿车,NOx,2,-1.7,2.46343888888889e-05
小轿车,NOx,3,-1.7,2.46343888888889e-05
小轿车,NOx,4,-1.7,2.46343888888889e-05
小轿车,NOx,5,-1.7,2.46343888888889e-05
小轿车,NOx,6,-1.7,2.46343888888889e-05
小轿车,NOx,7,-1.7,2.46343888888889e-05
小轿车,NOx,8,-1.7,2.46343888888889e-05
小轿车,NOx,9,-1.7,2.46343888888889e-05
小轿车,NOx,10,-1.7,2.46343888888889e-05
